atoll,isl_type,island,2014Male,2014Female,2015Male,2015Female,2016Male,2016Female,2017Male,2017Female,2018Male,2018Female,2019Male,2019Female,2020Male,2020Female,2021Male,2021Female,2022Male,2022Female,2023Male,2023Female,2024Male,2024Female,2025Male,2025Female,2026Male,2026Female,2027Male,2027Female,2028Male,2028Female,2029Male,2029Female,2030Male,2030Female,2031Male,2031Female,2032Male,2032Female,2033Male,2033Female,2034Male,2034Female,2035Male,2035Female,2036Male,2036Female,2037Male,2037Female,2038Male,2038Female,2039Male,2039Female,2040Male,2040Female,2041Male,2041Female,2042Male,2042Female,2043Male,2043Female,2044Male,2044Female,2045Male,2045Female,2046Male,2046Female,2047Male,2047Female,2048Male,2048Female,2049Male,2049Female,2050Male,2050Female,2051Male,2051Female,2052Male,2052Female,2053Male,2053Female,2054Male,2054Female
R,admin,Maakurathu,363.8665725,401.1334275,368.1903512,404.8909972,372.3082358,408.391199,376.117279,411.8914009,379.9263222,414.7224465,383.3235769,417.9652806,386.7723052,420.590432,390.0151393,423.0096891,392.949132,425.4289463,395.6772305,427.436415,398.2509084,429.5468308,400.3613242,431.1425111,402.3687929,432.3264029,404.0674203,433.5102947,405.6631005,434.4882923,407.1558337,435.2603956,408.2882519,435.8266048,409.3691966,435.9810254,410.2442471,436.1869197,410.8619298,436.2383932,411.4796124,435.9295519,411.7884538,435.6207105,411.9428744,434.9000807,411.9428744,433.9735567,411.7369802,432.8411385,411.4281389,431.5542996,410.8104562,430.0615664,409.9354057,428.1055713,409.0088817,426.046629,407.6705692,423.6788454,406.3322568,421.1051675,404.6851029,418.3255955,402.6776342,415.0312878,400.3098506,411.4796124,397.8391199,407.7735164,394.9051272,403.5526847,391.8681873,399.0230117,388.2650384,394.2359709,384.4559952,388.9856681,380.4925313,383.426524,376.1687525,377.507065
R,admin,Rasmaadhoo,234.9674337,259.0325663,237.7595209,261.459023,240.4186516,263.7192841,242.8783475,265.9795451,245.3380433,267.8076975,247.5318261,269.9017629,249.7588481,271.5969587,251.8529135,273.159198,253.7475441,274.7214372,255.5092181,276.0177634,257.1711748,277.3805679,258.5339793,278.410981,259.8303055,279.1754811,260.9271969,279.9399812,261.95761,280.5715247,262.9215449,281.0701117,263.6528058,281.4357422,264.3508276,281.5354596,264.9158929,281.6684161,265.3147625,281.7016552,265.7136321,281.5022204,265.9130669,281.3027856,266.0127843,280.8374378,266.0127843,280.2391334,265.8798277,279.5078724,265.6803929,278.6768941,265.2815233,277.7129592,264.7164581,276.4498722,264.1181537,275.1203068,263.2539362,273.5913067,262.3897187,271.92935,261.3260665,270.1344368,260.0297403,268.0071323,258.5007401,265.7136321,256.9052617,263.3204145,255.0106311,260.5948055,253.0495223,257.6697618,250.7227829,254.5785224,248.2630871,251.1881308,245.7036738,247.5983044,242.9115866,243.7758041
R,admin,Innamaadhoo,239.7238595,264.2761405,242.5724667,266.7517158,245.2854259,269.0577311,247.7949132,271.3637465,250.3044005,273.2289059,252.5425918,275.3653613,254.8146952,277.0948728,256.9511506,278.6887364,258.884134,280.2825999,260.6814695,281.6051675,262.377069,282.9955591,263.7674606,284.0468308,265.0900283,284.8268066,266.2091239,285.6067824,267.2603956,286.2511102,268.2438434,286.7597901,268.9899071,287.132822,269.7020589,287.2345579,270.2785628,287.3702059,270.6855067,287.4041179,271.0924505,287.2006459,271.2959225,286.997174,271.3976585,286.5224061,271.3976585,285.9119903,271.2620105,285.1659265,271.0585386,284.3181268,270.6515947,283.334679,270.0750908,282.0460234,269.464675,280.6895438,268.5829633,279.1295922,267.7012515,277.4339927,266.6160678,275.6027453,265.2935002,273.4323779,263.7335486,271.0924505,262.1057731,268.6507872,260.1727897,265.870004,258.1719822,262.8857489,255.7981429,259.7319338,253.2886556,256.2729108,250.6774324,252.6104158,247.8288252,248.7105369
R,admin,Maduvvari,661.143184,728.856816,668.9994617,735.6842955,676.481631,742.0441394,683.4026376,748.4039833,690.3236442,753.5479747,696.4964339,759.440183,702.7627506,764.2100659,708.654959,768.6058404,713.9860046,773.0016149,718.9429417,776.6491724,723.6192975,780.4837841,727.4539093,783.3831247,731.1014668,785.5342484,734.1878617,787.6853721,737.0872023,789.4623873,739.7994886,790.865294,741.8570852,791.8940923,743.8211546,792.1746737,745.4111156,792.5487821,746.533441,792.6423092,747.6557664,792.0811465,748.2169291,791.5199839,748.4975104,790.2106042,748.4975104,788.5271161,748.123402,786.4695196,747.5622393,784.1313417,746.4399139,781.4190553,744.8499529,777.8650249,743.1664648,774.1239403,740.7347598,769.8216929,738.3030548,765.1453371,735.3101871,760.0948728,731.6626295,754.1091374,727.3603822,747.6557664,722.8710806,740.921814,717.540035,733.2525905,712.0219351,725.0222043,705.475037,716.3241825,698.5540304,706.7844166,691.3524425,696.6834881,683.4961647,685.9278697
R,admin,Inguraidhoo,534.1466155,588.8533845,540.4938097,594.3693985,546.5387566,599.5076033,552.1303324,604.6458081,557.7219082,608.8017091,562.7089894,613.5621047,567.7716324,617.4157583,572.532028,620.9671646,576.8390526,624.5185709,580.8438299,627.4654824,584.6219217,630.5635177,587.7199569,632.9059346,590.6668685,634.6438568,593.1604091,636.381779,595.502826,637.8174539,597.6941192,638.9508814,599.3564796,639.7820616,600.9432782,640.0087471,602.2278294,640.3109945,603.1345714,640.3865563,604.0413134,639.9331853,604.4946844,639.4798143,604.7213699,638.4219486,604.7213699,637.0618356,604.4191226,635.3994752,603.9657516,633.5104293,603.0590096,631.3191361,601.7744584,628.4477863,600.4143453,625.4253129,598.4497376,621.9494684,596.4851299,618.1713767,594.0671511,614.0910375,591.1202395,609.2550801,587.6443951,604.0413134,584.017427,598.6008613,579.7104024,592.4047907,575.2522541,585.7553492,569.9629256,578.7280985,564.3713498,571.0207913,558.5530884,562.860113,552.2058942,554.170502
R,admin,Fainu,144.5953438,159.4046562,146.3135513,160.8978603,147.9499394,162.2887902,149.4635984,163.6797201,150.9772574,164.8047369,152.3272776,166.0933925,153.6977527,167.13659,154.9864083,168.097968,156.1523348,169.059346,157.2364419,169.8570852,158.2591845,170.6957341,159.0978334,171.3298345,159.8955726,171.8002961,160.5705827,172.2707576,161.2046831,172.6593998,161.7978738,172.9662226,162.2478805,173.1912259,162.6774324,173.2525905,163.0251648,173.3344099,163.2706231,173.3548648,163.5160813,173.2321356,163.6388104,173.1094065,163.7001749,172.8230386,163.7001749,172.4548513,163.6183555,172.0048446,163.4956264,171.4934733,163.2501682,170.9002826,162.9024357,170.1229983,162.5342484,169.3048042,162.0024223,168.363881,161.4705962,167.3411385,160.8160409,166.2365765,160.0183017,164.927466,159.0773785,163.5160813,158.0955457,162.043332,156.9296192,160.3660342,155.7227829,158.5660073,154.2909433,156.6637061,152.7772843,154.5773113,151.2022608,152.3681873,149.4840533,150.0158794
R,admin,Meedhoo,791.4692504,872.5307496,800.8741758,880.7040775,809.8312475,888.3175885,818.1165388,895.9310994,826.4018302,902.0890863,833.7914143,909.1427802,841.2929619,914.8529135,848.3466559,920.1151931,854.7285695,925.3774727,860.6626295,929.7440452,866.2607994,934.3345445,870.8512986,937.8054098,875.2178711,940.3805679,878.9126632,942.955726,882.3835285,945.0830305,885.630467,946.7624815,888.0936617,947.9940789,890.444893,948.329969,892.3482708,948.7778226,893.6918315,948.889786,895.0353923,948.2180057,895.7071727,947.5462253,896.0430628,945.9787377,896.0430628,943.9633966,895.5952093,941.5002019,894.9234289,938.7011169,893.5798681,935.4541784,891.6764904,931.1995694,889.6611492,926.7210335,886.7501009,921.5707173,883.8390526,915.9725474,880.2562239,909.926524,875.8896515,902.7608666,870.7393352,895.0353923,865.3650922,886.9740277,858.9831786,877.7930292,852.3773382,867.9402503,844.5399004,857.5276544,836.2546091,846.107388,827.6334275,834.0153411,818.2285022,821.1395505
R,admin,Kinolhas,205.4775939,226.5224061,207.9192572,228.6443278,210.2446508,230.6209124,212.3956399,232.597497,214.546629,234.1962051,216.4650787,236.0274526,218.4125959,237.509891,220.2438434,238.8760597,221.9006863,240.2422285,223.4412596,241.3758579,224.8946306,242.5676221,226.0863948,243.4687122,227.2200242,244.1372628,228.1792491,244.8058135,229.0803391,245.3580945,229.9232943,245.7941058,230.5627776,246.1138474,231.1731934,246.2010497,231.6673395,246.3173193,232.0161486,246.3463868,232.3649576,246.1719822,232.5393621,245.9975777,232.6265644,245.5906338,232.6265644,245.0674203,232.5102947,244.427937,232.3358902,243.7012515,231.9870811,242.8582963,231.492935,241.7537344,230.9697214,240.5910375,230.2139685,239.2539362,229.4582156,237.8005652,228.5280581,236.2309245,227.3944287,234.3706096,226.0573274,232.3649576,224.6620912,230.2721034,223.0052483,227.8885749,221.2902705,225.3306419,219.2555511,222.6273718,217.104562,219.662495,214.8663706,216.5232136,212.4247073,213.1804602
R,admin,Hulhudhuffaaru,513.2183421,565.7816579,519.3168483,571.0815503,525.1249495,576.0184363,530.4974431,580.9553223,535.8699368,584.9483919,540.6616202,589.5222716,545.525905,593.2249361,550.0997847,596.6371955,554.2380568,600.049455,558.0859238,602.8809043,561.7159871,605.8575562,564.6926389,608.1081954,567.5240883,609.7780245,569.91993,611.4478536,572.1705692,612.8272776,574.2760059,613.9162966,575.8732338,614.7149105,577.3978603,614.9327143,578.6320818,615.2231194,579.503297,615.2957206,580.3745122,614.860113,580.8101198,614.4245055,581.0279236,613.4080877,581.0279236,612.101265,580.7375185,610.5040371,580.3019109,608.6890055,579.4306957,606.5835688,578.1964742,603.8247208,576.8896515,600.9206702,575.0020186,597.581012,573.1143857,593.9509487,570.7911452,590.0304804,567.9596959,585.3839995,564.6200377,580.3745122,561.135177,575.1472211,556.9969049,569.1939174,552.7134302,562.8050061,547.6313417,556.0530884,542.2588481,548.6477594,536.6685507,540.8068228,530.5700444,532.4576773
R,admin,Dhuvaafaru,1388.876329,1531.123671,1405.380164,1545.46629,1421.098103,1558.826537,1435.637196,1572.186785,1450.176289,1582.992868,1463.143588,1595.370744,1476.307361,1605.39093,1488.685238,1614.625219,1499.884269,1623.859507,1510.297403,1631.522002,1520.121114,1639.577446,1528.176558,1645.668147,1535.839053,1650.187054,1542.322702,1654.705962,1548.413403,1658.438972,1554.111156,1661.386085,1558.433589,1663.547302,1562.559548,1664.136725,1565.89961,1664.922621,1568.2573,1665.119096,1570.614991,1663.94025,1571.793837,1662.761405,1572.383259,1660.010766,1572.383259,1656.47423,1571.597362,1652.151797,1570.418517,1647.239941,1568.060826,1641.542188,1564.720764,1634.076167,1561.184228,1626.217198,1556.075898,1617.179384,1550.967568,1607.355672,1544.680393,1596.746064,1537.017898,1584.171713,1527.980083,1570.614991,1518.54932,1556.468847,1507.350289,1540.35796,1495.75831,1523.068228,1482.005114,1504.796124,1467.466021,1484.755753,1452.337505,1463.536536,1435.83367,1440.942
R,nadmin,Non-administrative islands,224,2,229.9003725,2.052681897,235.9561663,2.106751485,242.1714755,2.162245317,248.5505019,2.21920091,255.0975579,2.277656767,261.8170695,2.337652406,268.7135794,2.399228388,275.79175,2.462426339,283.0563663,2.527288984,290.5123394,2.593860173,298.16471,2.662184911,306.0186512,2.732309386,314.0794728,2.804281007,322.352624,2.878148428,330.8436978,2.953961588,339.5584346,3.031771738,348.5027259,3.111631481,357.6826182,3.193594805,367.1043176,3.277717122,376.7741935,3.364055299,386.6987832,3.452667707,396.8847959,3.543614249,407.3391178,3.636956409,418.0688165,3.732757291,429.0811457,3.831081658,440.38355,3.931995983,451.9836704,4.035568486,463.889349,4.141869188,476.1086345,4.250969951,488.6497875,4.362944531,501.5212863,4.477868628,514.7318327,4.595819935,528.2903574,4.716878191,542.2060265,4.841125236,556.4882475,4.968645067,571.1466757,5.09952389,586.1912209,5.233850186,601.6320536,5.371714765,617.4796126,5.513210826,633.7446112,5.658434029
B,admin,Kudarikilu,197.65713,212.34287,198.2574904,212.7585042,198.626943,213.0817752,198.9963956,213.0817752,199.0425772,213.0817752,198.9963956,212.9432305,198.8116693,212.3890516,198.2113089,211.6501464,197.7494931,210.9112413,196.7796801,209.9414282,195.9945934,208.7407074,194.8400541,207.4476233,193.4546069,206.0159946,192.0691597,204.353458,190.5451678,202.5985582,188.8826312,200.7051138,186.9891868,198.6731246,185.234287,196.5487722,183.1099347,194.2858752,181.1703086,192.0229781,178.9074116,189.6215364,176.6906961,187.1277315,174.3816175,184.4492003,171.9801757,181.6783059,169.3940077,178.86123,166.6692949,175.7208831,163.7136743,172.4419914,160.8042352,168.9321919,157.5715251,165.3762109,154.4311782,161.6355035,151.0137418,157.6638883,147.4115792,153.4613652,143.6708718,149.1202974,139.7454382,144.733048,135.6814598,139.8378013,131.340392,134.9887362,126.8145979,129.7240369,122.1040775,124.1822483,117.2088308,118.4557333,112.0826763,112.5906736,106.6794323,106.5870692
B,admin,Kamadhoo,170.177968,182.822032,170.6948637,183.1798829,171.0129534,183.4582113,171.331043,183.4582113,171.3708042,183.4582113,171.331043,183.3389277,171.1719982,182.8617932,170.6551025,182.2256139,170.2574904,181.5894346,169.4225051,180.7544492,168.7465645,179.7206578,167.7525344,178.607344,166.5596981,177.3747466,165.3668619,175.9433431,164.0547421,174.4324172,162.6233386,172.8022077,160.9931291,171.0527146,159.4822032,169.223699,157.6531877,167.2753999,155.9832169,165.3271007,154.0349178,163.2595179,152.1263798,161.1124127,150.1383194,158.8062627,148.0707367,156.4205902,145.844109,153.9951566,143.4981978,151.2913945,140.9534805,148.4683487,138.4485244,145.446497,135.6652399,142.384884,132.9614778,139.1642262,130.0191485,135.7447623,126.9177743,132.1264925,123.6971165,128.388939,120.3174138,124.6116242,116.8184276,120.3969362,113.0808741,116.2220095,109.1842757,111.6892318,105.1286326,106.9178869,100.9139446,101.9874972,96.50045055,96.93782383,91.84838928,91.76886686
B,admin,Kendhoo,399.653075,429.346925,400.8669745,430.187317,401.6139896,430.8409552,402.3610047,430.8409552,402.4543816,430.8409552,402.3610047,430.5608245,401.9874972,429.4403019,400.7735977,427.9462717,399.8398288,426.4522415,397.8789142,424.4913269,396.2915071,422.0635278,393.9570849,419.448975,391.1557783,416.5542915,388.3544717,413.1927236,385.2730345,409.6444019,381.9114665,405.8159495,378.0830142,401.7073665,374.5346925,397.4120297,370.2393557,392.8365623,366.3175265,388.2610948,361.742059,383.4054967,357.2599685,378.3631449,352.5911241,372.9472854,347.735526,367.3446722,342.5064204,361.6486821,336.9971841,355.2990538,331.0210633,348.6692949,325.1383194,341.5726515,318.6019374,334.3826312,312.2523091,326.8191034,305.3424195,318.7886911,298.0590223,310.2913945,290.4954945,301.5139671,282.5584591,292.6431629,274.3412931,282.7452129,265.5638657,272.9406398,256.4129308,262.2956747,246.8884884,251.0904483,236.9905384,239.5117144,226.625704,227.6528497,215.7006082,215.5138545
B,admin,Kihaadhoo,166.3212435,178.6787565,166.8264249,179.0284974,167.1373057,179.3005181,167.4481865,179.3005181,167.4870466,179.3005181,167.4481865,179.1839378,167.2927461,178.7176166,166.7875648,178.0958549,166.3989637,177.4740933,165.5829016,176.6580311,164.9222798,175.6476684,163.9507772,174.5595855,162.7849741,173.3549223,161.619171,171.9559585,160.3367876,170.4792746,158.9378238,168.8860104,157.3445596,167.1761658,155.8678756,165.388601,154.0803109,163.484456,152.4481865,161.5803109,150.5440415,159.5595855,148.6787565,157.4611399,146.7357513,155.2072539,144.7150259,152.8756477,142.5388601,150.5051813,140.246114,147.8626943,137.7590674,145.1036269,135.3108808,142.1502591,132.5906736,139.1580311,129.9481865,136.0103627,127.0725389,132.6683938,124.0414508,129.1321244,120.8937824,125.4792746,117.5906736,121.7875648,114.1709845,117.6683938,110.5181347,113.5880829,106.7098446,109.1580311,102.746114,104.4948187,98.62694301,99.6761658,94.3134715,94.74093264,89.76683938,89.68911917
B,admin,Dhonfanu,173.0705114,185.9294886,173.5961928,186.2934219,173.9196891,186.5764812,174.2431854,186.5764812,174.2836224,186.5764812,174.2431854,186.4551701,174.0814373,185.9699257,173.5557558,185.3229331,173.1513854,184.6759405,172.3022077,183.8267628,171.6147781,182.7753999,170.6038522,181.6431629,169.3907412,180.3896148,168.1776301,178.9338815,166.8432079,177.3972742,165.3874747,175.7393557,163.7295562,173.9601262,162.1929489,172.1000225,160.3328452,170.1186078,158.6344897,168.1371931,156.653075,166.0344672,154.7120973,163.8508673,152.6902456,161.5055193,150.5875197,159.0792971,148.3230457,156.612638,145.9372606,153.8629196,143.3492904,150.9918901,140.8017572,147.9186754,137.9711647,144.8050237,135.2214463,141.5296238,132.2291057,138.0520387,129.0750169,134.3722685,125.799617,130.5711872,122.362469,126.7296688,118.8040099,122.4433431,115.0029286,118.1974544,111.0400991,113.5876323,106.9155215,108.7351881,102.6291958,103.7209957,98.14068484,98.58549223,93.4095517,93.32867763
